585,3,1.4314,0.9542,2.2989,2.6618,3.3017,2.9365,1.8513,1.8195,1.5682,1.3424,4.7627,1.3424,1.3222,4.5628,1.2788,1.2788,1.2788,2.0294,1.5315,2.2122,0.0000,1.8513,1.4314,2.0569,0.0000,1.2788,4.5628,1.2788,1.2788,0.9031,1.1761,1.2788,1.5563,1.7387,1.9448,2.1192
585,4,1.4314,0.9542,2.2989,2.6618,2.7308,2.4378,1.1461,1.1139,1.1139,0.8451,4.2856,0.9031,0.7782,4.0066,0.6990,0.7782,0.6990,1.4771,1.3979,1.7243,0.0000,1.2304,1.0792,1.6335,0.0000,0.6990,4.0066,0.7782,0.6990,0.4771,0.6021,0.7782,0.8451,1.2586,1.4914,1.6628
3279,1,1.4314,0.9542,2.6314,0.3010,3.7568,3.4023,1.7404,1.7076,2.2014,1.3979,3.9483,1.3979,1.3802,3.5642,1.3222,1.3222,1.3222,3.1617,2.2856,2.4683,0.0000,2.9112,2.0453,2.2355,0.0000,1.3222,3.5642,1.3222,1.3222,1.0000,1.1761,1.3222,1.5682,1.9283,2.1115,2.1746
3279,2,1.4314,0.9542,2.6314,0.3010,3.7012,3.3473,1.7993,1.7709,2.1614,1.3802,3.9193,1.3802,1.3617,3.5309,1.3010,1.3010,1.3010,3.0766,2.2095,2.3979,0.0000,2.7910,1.9823,2.2095,0.0000,1.3010,3.5309,1.3010,1.3010,0.9542,1.2041,1.3010,1.6902,2.0677,2.2263,2.2923
6939,2,1.4314,0.9542,2.7796,1.9243,3.0082,2.7042,1.7324,1.6435,1.3424,1.2041,4.9096,1.2041,1.1461,4.3451,1.0000,1.0000,0.9542,1.2304,0.9031,1.7404,0.0000,0.9031,0.8451,1.5563,0.0000,1.0000,4.3451,1.0000,0.9542,0.6021,0.9031,1.0000,1.4150,1.6865,2.1286,2.1800
7716,1,0.9031,1.1139,2.7924,2.9759,2.3328,1.9571,1.3139,1.1761,0.3802,0.7160,3.8097,0.8195,0.7160,3.4629,0.7160,0.8195,0.7160,0.0000,0.3802,1.5391,0.0000,0.0000,0.3802,1.5024,0.0000,0.7160,3.4629,0.8195,0.7160,0.6021,0.7782,0.8195,0.9435,1.2916,1.3817,1.4840
4044,4,1.2553,1.1139,2.3096,2.9248,2.7427,2.3385,1.2304,1.1761,1.0414,0.7782,4.4358,0.7782,0.6990,4.2139,0.6990,0.6990,0.6990,0.0000,0.8451,1.2788,0.0000,0.0000,0.7782,1.2553,0.0000,0.6990,4.2139,0.6990,0.6990,0.3010,0.4771,0.6990,0.7782,0.9294,1.0199,1.1741
7716,3,0.9031,1.1139,2.7924,2.9759,2.5465,2.2788,1.4624,1.3010,1.0000,1.1461,4.2076,1.1761,1.1461,3.8298,1.1139,1.1461,1.1139,0.0000,0.3010,1.9085,0.0000,0.0000,0.3010,1.8388,0.0000,1.1139,3.8298,1.1461,1.1139,1.0000,1.1461,1.1461,1.3222,1.4914,1.7531,1.8980
16926,4,1.1461,0.3010,2.6274,2.9859,1.6990,1.3692,1.0864,1.0334,0.3802,0.5798,3.3353,0.5798,0.5798,2.9166,0.3802,0.3802,0.3802,0.0000,0.0000,1.1335,0.0000,0.0000,0.0000,1.1335,0.0000,0.3802,2.9166,0.3802,0.3802,0.0000,0.3522,0.3802,0.6138,1.0607,1.2543,1.5181
16926,3,1.1461,0.3010,2.6274,2.9859,2.0347,1.7647,0.9624,0.9031,0.9624,0.3365,2.9554,0.3365,0.3365,2.8375,0.3365,0.3365,0.3365,0.0000,0.3365,1.4260,0.0000,0.0000,0.3365,1.1761,0.0000,0.3365,2.8375,0.3365,0.3365,0.0000,0.3522,0.3365,0.3560,0.6767,1.5517,2.0486
